xCoordinates yCoordinates zCoordinates vx vy vz yarnAngel
0.000000000000000000e+00 1.888299465552081280e+00 3.016364575210083387e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.790057429791318100e+00 3.035053573429324913e+00 0.000000000000000000e+00 9.842304904893356410e-01 1.768907617461176474e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.691630560797227290e+00 3.052743336143334929e+00 0.000000000000000000e+00 9.859771239003385368e-01 1.668805295569752434e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.593029021683092017e+00 3.069432036787228313e+00 0.000000000000000000e+00 9.876219497733423891e-01 1.568530660392123688e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.494262993597841760e+00 3.085117952161265720e+00 0.000000000000000000e+00 9.891647982710707332e-01 1.468094065833381590e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.395342674674794115e+00 3.099799462608777034e+00 0.000000000000000000e+00 9.906055100859666451e-01 1.367505882521968252e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.296278278978639342e+00 3.113475052183401814e+00 0.000000000000000000e+00 9.919439364566497996e-01 1.266776496738310498e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.197080035450784674e+00 3.126143308805614751e+00 0.000000000000000000e+00 9.931799391832543122e-01 1.165916309344169899e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.097758186853158291e+00 3.137802924408545024e+00 0.000000000000000000e+00 9.943133906417447321e-01 1.064935734705016179e-01 0.000000000000000000e+00
0.000000000000000000e+00 9.983229887105893319e-01 3.148452695073018504e+00 0.000000000000000000e+00 9.953441737970382119e-01 9.638451996192839988e-02 0.000000000000000000e+00
0.000000000000000000e+00 8.987847082518678477e-01 3.158091521151892067e+00 0.000000000000000000e+00 9.962721822151329176e-01 8.626551422380211720e-02 0.000000000000000000e+00
0.000000000000000000e+00 7.991536233495978303e-01 3.166718407383584122e+00 0.000000000000000000e+00 9.970973200740808062e-01 7.613760109883996319e-02 0.000000000000000000e+00
0.000000000000000000e+00 6.994400214589503451e-01 3.174332462994840398e+00 0.000000000000000000e+00 9.978195021738738291e-01 6.600182634959869676e-02 0.000000000000000000e+00
0.000000000000000000e+00 5.996541985554268983e-01 3.180932901792720813e+00 0.000000000000000000e+00 9.984386539452571041e-01 5.585923655030677198e-02 0.000000000000000000e+00
0.000000000000000000e+00 4.998064580717451744e-01 3.186519042245770095e+00 0.000000000000000000e+00 9.989547114574184317e-01 4.571087897892400082e-02 0.000000000000000000e+00
0.000000000000000000e+00 3.999071098339512242e-01 3.191090307554393490e+00 0.000000000000000000e+00 9.993676214245952316e-01 3.555780150890779784e-02 0.000000000000000000e+00
0.000000000000000000e+00 2.999664689968743470e-01 3.194646225710409126e+00 0.000000000000000000e+00 9.996773412115687041e-01 2.540105250120189284e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.999948549790315777e-01 3.197186429545798347e+00 0.000000000000000000e+00 9.998838388380780762e-01 1.524168069565661789e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.000025903970899049e-01 3.198710656770597183e+00 0.000000000000000000e+00 9.999870929821104149e-01 5.080735103121991267e-03 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.199218750000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
